Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,FabricType,Decoration,PatternType,Recommendation,RatingCategory,PriceLevel,IsRecommended,Price_num
casual,low,4.8,free,spring,o-neck,sleeveless,natural,chiffon,chiffon,lace,print,2,Excellent,1,Not Recommended,1
casual,average,4.6,m,autumn,o-neck,short,empire,polyester,chiffon,applique,dot,1,Excellent,2,Recommended,3
bohemian,average,5.0,m,spring,slash-neck,sleeveless,empire,cotton,chiffon,ruffles,solid,2,Excellent,2,Not Recommended,3
casual,low,4.9,free,winter,o-neck,sleeveless,empire,silk,chiffon,sashes,print,2,Excellent,1,Not Recommended,1
casual,average,4.7,l,summer,o-neck,sleeveless,natural,silk,chiffon,beading,solid,1,Excellent,2,Recommended,3
casual,medium,4.6,m,winter,o-neck,full,natural,cashmere,chiffon,lace,solid,2,Excellent,3,Not Recommended,2
casual,average,4.7,m,winter,v-neck,sleeveless,empire,polyester,chiffon,applique,print,1,Excellent,2,Recommended,3
sexy,average,4.7,m,winter,v-neck,sleeveless,natural,polyester,broadcloth,lace,patchwork,1,Excellent,2,Recommended,3
casual,average,3.5,m,winter,v-neck,short,natural,cotton,chiffon,lace,solid,1,Good,2,Recommended,3
casual,average,4.8,m,winter,o-neck,threequarter,natural,cotton,chiffon,lace,print,2,Excellent,2,Not Recommended,3
casual,average,4.7,m,winter,o-neck,full,natural,cotton,jersey,feathers,solid,2,Excellent,2,Not Recommended,3
casual,low,4.6,m,summer,o-neck,sleeveless,natural,cotton,chiffon,sashes,striped,1,Excellent,1,Recommended,1
casual,average,4.7,l,spring,v-neck,halfsleeves,natural,cotton,broadcloth,lace,print,2,Excellent,2,Not Recommended,3
casual,low,4.5,free,summer,o-neck,full,natural,cotton,chiffon,button,solid,1,Very Good,1,Recommended,1
casual,average,4.7,m,summer,o-neck,sleeveless,natural,polyester,chiffon,lace,character,1,Excellent,2,Recommended,3
casual,low,4.5,m,winter,o-neck,short,natural,chiffon,chiffon,lace,solid,1,Very Good,1,Recommended,1
casual,low,4.7,s,summer,o-neck,full,natural,cotton,chiffon,lace,patchwork,1,Excellent,1,Recommended,1
cute,low,4.7,free,summer,boat-neck,sleeveless,natural,cotton,chiffon,lace,print,1,Excellent,1,Recommended,1
party,very-high,5.0,m,spring,slash-neck,sleeveless,natural,chiffon,chiffon,flowers,solid,2,Excellent,5,Not Recommended,5
casual,average,4.9,m,autumn,v-neck,sleeveless,natural,polyester,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
party,very-high,4.7,l,winter,v-neck,sleeveless,natural,polyester,tulle,beading,solid,1,Excellent,5,Recommended,5
party,very-high,4.7,m,winter,v-neck,capsleeves,natural,cotton,chiffon,lace,solid,1,Excellent,5,Recommended,5
casual,low,4.4,m,winter,v-neck,turndowncollor,natural,cotton,chiffon,lace,solid,2,Very Good,1,Not Recommended,1
party,very-high,4.7,m,spring,v-neck,threequarter,natural,lycra,satin,applique,solid,2,Excellent,5,Not Recommended,5
party,high,4.7,m,winter,sweetheart,sleeveless,natural,cotton,chiffon,pearls,solid,1,Excellent,4,Recommended,4
party,high,4.7,m,spring,sweetheart,sleeveless,natural,nylon,chiffon,lace,solid,1,Excellent,4,Recommended,4
party,average,5.0,m,winter,o-neck,capsleeves,empire,polyester,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
party,high,4.7,m,winter,sweetheart,sleeveless,natural,cotton,chiffon,flowers,solid,1,Excellent,4,Recommended,4
party,average,4.8,free,winter,o-neck,sleeveless,empire,cotton,chiffon,embroidary,solid,2,Excellent,2,Not Recommended,3
party,average,4.5,l,summer,o-neck,full,natural,cotton,chiffon,lace,solid,2,Very Good,2,Not Recommended,3
party,very-high,4.9,m,spring,sweetheart,sleeveless,empire,cotton,chiffon,beading,solid,2,Excellent,5,Not Recommended,5
party,high,4.6,m,winter,sweetheart,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,4,Recommended,4
party,average,5.0,m,spring,sweetheart,sleeveless,natural,polyester,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
party,very-high,4.8,l,spring,sweetheart,sleeveless,empire,microfiber,organza,beading,solid,2,Excellent,5,Not Recommended,5
party,very-high,4.7,m,winter,sweetheart,sleeveless,natural,polyester,chiffon,beading,solid,2,Excellent,5,Not Recommended,5
party,high,4.6,l,spring,slash-neck,sleeveless,empire,silk,chiffon,beading,solid,1,Excellent,4,Recommended,4
party,average,4.8,l,summer,sweetheart,sleeveless,empire,cotton,chiffon,pleat,solid,2,Excellent,2,Not Recommended,3
party,medium,4.6,s,winter,scoop,short,empire,cotton,chiffon,crystal,solid,1,Excellent,3,Recommended,2
party,very-high,4.9,m,spring,sweetheart,sleeveless,natural,silk,chiffon,beading,solid,2,Excellent,5,Not Recommended,5
party,medium,4.8,s,spring,v-neck,sleeveless,empire,cotton,chiffon,lace,solid,2,Excellent,3,Not Recommended,2
party,very-high,4.2,l,winter,v-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Very Good,5,Not Recommended,5
casual,low,4.4,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Very Good,1,Not Recommended,1
party,very-high,4.1,m,winter,scoop,short,natural,cotton,lace,applique,solid,2,Very Good,5,Not Recommended,5
party,very-high,4.7,m,winter,o-neck,full,natural,cotton,chiffon,feathers,solid,2,Excellent,5,Not Recommended,5
casual,high,4.6,m,summer,sweetheart,sleeveless,empire,cotton,chiffon,beading,solid,2,Excellent,4,Not Recommended,4
party,average,4.7,free,winter,o-neck,sleeveless,natural,polyester,chiffon,lace,solid,1,Excellent,2,Recommended,3
party,very-high,4.7,l,winter,slash-neck,sleeveless,empire,viscos,chiffon,beading,solid,2,Excellent,5,Not Recommended,5
party,very-high,4.5,m,spring,v-neck,capsleeves,natural,cotton,chiffon,lace,solid,2,Very Good,5,Not Recommended,5
party,average,4.7,free,spring,sweetheart,sleeveless,empire,rayon,chiffon,beading,solid,2,Excellent,2,Not Recommended,3
party,high,4.8,m,summer,sweetheart,sleeveless,princess,cotton,satin,lace,solid,2,Excellent,4,Not Recommended,4
party,high,4.6,m,summer,slash-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,4,Not Recommended,4
party,medium,4.7,m,winter,o-neck,sleeveless,empire,cotton,chiffon,button,solid,2,Excellent,3,Not Recommended,2
cute,average,4.4,free,spring,sweetheart,sleeveless,empire,spandex,tulle,ruched,solid,2,Very Good,2,Not Recommended,3
party,average,5.0,m,spring,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
party,very-high,4.8,free,spring,sweetheart,sleeveless,natural,polyester,chiffon,beading,solid,2,Excellent,5,Not Recommended,5
party,medium,4.8,m,spring,o-neck,sleeveless,natural,silk,chiffon,crystal,solid,2,Excellent,3,Not Recommended,2
party,very-high,4.9,l,spring,slash-neck,sleeveless,natural,cotton,chiffon,flowers,solid,2,Excellent,5,Not Recommended,5
party,medium,4.7,free,winter,v-neck,short,empire,cotton,chiffon,lace,solid,2,Excellent,3,Not Recommended,2
work,average,5.0,free,winter,o-neck,half,natural,microfiber,chiffon,lace,solid,1,Excellent,2,Recommended,3
party,very-high,4.9,m,spring,v-neck,sleeveless,empire,cotton,satin,beading,solid,2,Excellent,5,Not Recommended,5
casual,high,5.0,free,summer,v-neck,sleeveless,natural,nylon,chiffon,lace,solid,2,Excellent,4,Not Recommended,4
casual,very-high,4.7,small,spring,o-neck,full,natural,cotton,chiffon,applique,solid,1,Excellent,5,Recommended,5
casual,medium,4.7,m,spring,o-neck,sleeveless,natural,cotton,chiffon,bow,solid,2,Excellent,3,Not Recommended,2
party,average,4.7,m,spring,v-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,average,4.4,free,summer,slash-neck,sleeveless,empire,cotton,chiffon,lace,solid,2,Very Good,2,Not Recommended,3
casual,very-high,4.6,m,winter,o-neck,short,natural,cotton,chiffon,flowers,solid,2,Excellent,5,Not Recommended,5
casual,low,4.4,free,winter,halter,sleeveless,natural,cotton,chiffon,draped,solid,2,Very Good,1,Not Recommended,1
party,high,4.5,m,winter,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Very Good,4,Not Recommended,4
casual,average,4.8,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,average,5.0,m,summer,o-neck,sleeveless,natural,polyester,broadcloth,rivet,solid,1,Excellent,2,Recommended,3
vintage,average,4.9,free,summer,o-neck,urndowncollor,empire,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
vintage,average,4.7,s,summer,turndowncollor,short,empire,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
work,average,4.9,m,summer,sqare-collor,halfsleeves,empire,polyester,satin,sashes,solid,1,Excellent,2,Recommended,3
casual,low,4.7,l,spring,o-neck,short,natural,chiffon,chiffon,lace,solid,1,Excellent,1,Recommended,1
casual,average,4.8,l,autumn,o-neck,short,natural,cashmere,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,low,4.7,free,spring,v-neck,sleeveless,natural,cotton,chiffon,sequined,solid,2,Excellent,1,Not Recommended,1
casual,average,4.7,s,winter,slash-neck,halfsleeves,natural,nylon,broadcloth,lace,solid,1,Excellent,2,Recommended,3
casual,average,4.2,s,winter,v-neck,sleeveless,empire,other,chiffon,hollowout,patchwork,1,Very Good,2,Recommended,3
novelty,average,4.7,free,summer,o-neck,full,natural,cotton,satin,hollowout,solid,1,Excellent,2,Recommended,3
casual,low,4.3,free,summer,backless,sleeveless,empire,chiffon,chiffon,crystal,solid,1,Very Good,1,Recommended,1
casual,average,3.7,m,summer,boat-neck,sleeveless,natural,linen,chiffon,lace,solid,1,Good,2,Recommended,3
casual,average,5.0,free,winter,o-neck,sleeveless,natural,polyester,broadcloth,lace,solid,2,Excellent,2,Not Recommended,3
sexy,low,5.0,free,spring,v-neck,sleeveless,empire,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
cute,low,4.7,free,winter,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
vintage,average,4.8,m,summer,v-neck,full,natural,rayon,poplin,lace,solid,2,Excellent,2,Not Recommended,3
bohemian,average,4.8,l,winter,o-neck,sleeveless,natural,polyester,chiffon,lace,solid,1,Excellent,2,Recommended,3
bohemian,average,4.7,free,spring,o-neck,sleeveless,natural,rayon,chiffon,lace,striped,2,Excellent,2,Not Recommended,3
sexy,average,4.5,m,summer,bowneck,sleeveless,natural,cotton,chiffon,lace,solid,1,Very Good,2,Recommended,3
novelty,medium,4.2,m,winter,o-neck,halfsleeves,natural,polyester,chiffon,hollowout,animal,2,Very Good,3,Not Recommended,2
casual,low,5.0,free,spring,v-neck,full,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
casual,average,5.0,l,winter,o-neck,threequarter,natural,polyester,chiffon,applique,solid,1,Excellent,2,Recommended,3
casual,low,4.8,m,winter,v-neck,sleeveless,natural,polyester,chiffon,lace,print,1,Excellent,1,Recommended,1
bohemian,low,5.0,free,spring,o-neck,short,natural,nylon,jersey,sashes,print,2,Excellent,1,Not Recommended,1
casual,low,5.0,free,spring,bowneck,sleeveless,natural,silk,chiffon,applique,print,1,Excellent,1,Recommended,1
casual,low,5.0,m,spring,o-neck,sleeveless,natural,chiffon,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
cute,average,4.3,m,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Very Good,2,Recommended,3
novelty,average,4.7,free,winter,o-neck,short,natural,polyester,broadcloth,lace,solid,2,Excellent,2,Not Recommended,3
cute,low,4.7,l,spring,o-neck,sleeveless,empire,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
sexy,low,4.8,free,spring,slash-neck,sleeveless,natural,cotton,broadcloth,sequined,solid,1,Excellent,1,Recommended,1
sexy,low,4.8,free,summer,slash-neck,sleeveless,empire,silk,chiffon,lace,solid,1,Excellent,1,Recommended,1
casual,low,4.4,m,winter,o-neck,sleeveless,natural,polyester,chiffon,lace,solid,1,Very Good,1,Recommended,1
casual,average,4.5,m,winter,o-neck,sleeveless,natural,polyester,chiffon,ruched,striped,1,Very Good,2,Recommended,3
casual,low,4.4,free,spring,o-neck,sleeveless,natural,polyester,chiffon,sashes,print,1,Very Good,1,Recommended,1
work,average,4.9,m,winter,slash-neck,short,natural,polyester,broadcloth,ruffles,solid,1,Excellent,2,Recommended,3
cute,medium,4.6,free,spring,o-neck,short,natural,chiffon,chiffon,hollowout,solid,2,Excellent,3,Not Recommended,2
casual,low,4.7,free,spring,o-neck,halfsleeves,natural,silk,chiffon,sashes,print,1,Excellent,1,Recommended,1
casual,low,4.7,m,winter,o-neck,full,empire,polyester,chiffon,lace,print,2,Excellent,1,Not Recommended,1
casual,average,4.8,m,spring,o-neck,sleeveless,natural,cotton,chiffon,hollowout,print,1,Excellent,2,Recommended,3
sexy,low,4.8,l,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
casual,average,4.3,m,spring,o-neck,halfsleeves,natural,cotton,chiffon,lace,solid,2,Very Good,2,Not Recommended,3
casual,average,4.7,xl,winter,v-neck,short,empire,milksilk,chiffon,lace,print,1,Excellent,2,Recommended,3
casual,low,4.7,l,winter,v-neck,full,natural,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
sexy,average,4.7,m,autumn,slash-neck,sleeveless,natural,nylon,chiffon,rivet,solid,1,Excellent,2,Recommended,3
casual,low,4.7,free,winter,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
casual,high,4.7,l,winter,v-neck,full,natural,polyester,chiffon,lace,solid,1,Excellent,4,Recommended,4
casual,low,4.7,l,summer,o-neck,sleeveless,natural,silk,worsted,lace,patchwork,1,Excellent,1,Recommended,1
casual,average,4.7,free,summer,v-neck,full,natural,cotton,chiffon,sashes,solid,1,Excellent,2,Recommended,3
casual,average,4.7,free,winter,v-neck,full,natural,cashmere,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,low,4.7,free,summer,o-neck,capsleeves,natural,chiffon,chiffon,lace,print,2,Excellent,1,Not Recommended,1
casual,average,4.7,m,summer,o-neck,threequarter,natural,chiffon,chiffon,ruched,solid,1,Excellent,2,Recommended,3
sexy,low,4.5,free,summer,slash-neck,sleeveless,natural,polyester,corduroy,lace,solid,1,Very Good,1,Recommended,1
vintage,low,4.0,free,summer,turndowncollor,short,natural,cotton,woolen,hollowout,solid,1,Good,1,Recommended,1
sexy,low,4.7,free,summer,v-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
bohemian,low,5.0,free,summer,o-neck,sleeveless,empire,cotton,broadcloth,tassel,print,2,Excellent,1,Not Recommended,1
casual,low,4.7,s,winter,o-neck,sleeveless,natural,knitting,chiffon,lace,solid,1,Excellent,1,Recommended,1
sexy,average,4.5,s,winter,v-neck,sleeveless,natural,polyester,chiffon,lace,solid,1,Very Good,2,Recommended,3
cute,average,4.7,m,summer,o-neck,sleeveless,natural,chiffon,chiffon,sashes,splice,1,Excellent,2,Recommended,3
vintage,low,4.7,free,summer,o-neck,sleeveless,natural,cotton,batik,lace,print,2,Excellent,1,Not Recommended,1
casual,average,4.1,l,winter,o-neck,sleeveless,natural,polyester,chiffon,lace,solid,2,Very Good,2,Not Recommended,3
casual,average,4.2,m,winter,v-neck,full,empire,polyester,chiffon,lace,patchwork,2,Very Good,2,Not Recommended,3
brief,average,4.8,free,winter,v-neck,halfsleeves,natural,polyester,broadcloth,lace,solid,1,Excellent,2,Recommended,3
brief,average,4.9,free,winter,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,average,4.8,s,winter,v-neck,sleeveless,empire,polyester,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,average,4.7,l,winter,o-neck,sleeveless,natural,polyester,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
vintage,average,4.7,m,summer,v-neck,short,natural,rayon,chiffon,beading,print,1,Excellent,2,Recommended,3
casual,average,4.8,free,summer,o-neck,sleeveless,natural,cotton,chiffon,sashes,solid,1,Excellent,2,Recommended,3
sexy,low,4.7,m,winter,v-neck,sleeveless,natural,polyester,chiffon,lace,striped,1,Excellent,1,Recommended,1
casual,average,5.0,s,spring,turndowncollor,full,empire,cotton,worsted,lace,solid,1,Excellent,2,Recommended,3
sexy,average,4.1,free,summer,v-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Very Good,2,Not Recommended,3
casual,low,4.0,free,summer,v-neck,sleeveless,natural,cotton,broadcloth,hollowout,print,1,Good,1,Recommended,1
work,average,4.7,m,spring,v-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
cute,average,4.6,free,spring,v-neck,full,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,low,5.0,m,spring,o-neck,sleeveless,natural,spandex,jersey,lace,print,1,Excellent,1,Recommended,1
casual,average,4.7,m,autumn,v-neck,sleeveless,natural,cotton,chiffon,lace,striped,2,Excellent,2,Not Recommended,3
casual,low,4.6,free,winter,o-neck,full,natural,polyester,chiffon,applique,solid,1,Excellent,1,Recommended,1
casual,average,4.5,l,summer,o-neck,short,natural,cotton,jersey,pockets,solid,1,Very Good,2,Recommended,3
cute,average,4.6,m,autumn,o-neck,threequarter,natural,silk,chiffon,sashes,print,1,Excellent,2,Recommended,3
casual,low,4.6,free,autumn,o-neck,halfsleeves,natural,chiffon,chiffon,lace,leapord,2,Excellent,1,Not Recommended,1
casual,low,4.7,l,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
sexy,low,4.7,l,summer,o-neck,sleeveless,empire,silk,chiffon,lace,striped,1,Excellent,1,Recommended,1
bohemian,average,4.0,free,winter,o-neck,sleeveless,natural,polyester,chiffon,ruffles,striped,1,Good,2,Recommended,3
casual,low,4.7,free,summer,o-neck,full,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
work,average,4.7,m,summer,v-neck,sleeveless,natural,cotton,worsted,lace,solid,2,Excellent,2,Not Recommended,3
bohemian,average,4.1,free,summer,o-neck,threequarter,natural,cotton,chiffon,hollowout,solid,1,Very Good,2,Recommended,3
casual,average,4.7,m,spring,o-neck,halfsleeves,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
brief,low,4.6,m,summer,o-neck,short,natural,cotton,chiffon,lace,animal,1,Excellent,1,Recommended,1
cute,low,4.7,free,spring,v-neck,sleeveless,empire,chiffon,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
casual,average,5.0,m,spring,o-neck,threequarter,natural,spandex,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,low,5.0,free,winter,o-neck,full,natural,wool,chiffon,applique,solid,1,Excellent,1,Recommended,1
vintage,average,4.5,l,winter,o-neck,short,empire,cotton,chiffon,sequined,patchwork,2,Very Good,2,Not Recommended,3
casual,average,4.5,free,summer,o-neck,short,natural,polyester,chiffon,lace,solid,1,Very Good,2,Recommended,3
bohemian,low,4.4,l,summer,bowneck,short,natural,cotton,chiffon,lace,dot,1,Very Good,1,Recommended,1
casual,high,4.7,l,winter,v-neck,threequarter,natural,polyester,chiffon,ruffles,solid,2,Excellent,4,Not Recommended,4
casual,average,4.8,free,winter,o-neck,sleeveless,natural,polyester,chiffon,sashes,solid,1,Excellent,2,Recommended,3
brief,low,4.7,m,winter,o-neck,full,natural,cotton,chiffon,lace,patchwork,1,Excellent,1,Recommended,1
casual,medium,4.7,free,winter,bowneck,full,natural,cashmere,knitted,lace,solid,2,Excellent,3,Not Recommended,2
casual,average,4.7,m,winter,o-neck,short,empire,polyester,chiffon,lace,animal,1,Excellent,2,Recommended,3
party,average,4.7,m,summer,o-neck,full,natural,cotton,chiffon,lace,patchwork,2,Excellent,2,Not Recommended,3
bohemian,average,4.8,s,summer,v-neck,short,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,average,4.9,free,summer,sqare-collor,sleeveless,natural,polyester,chiffon,sashes,print,1,Excellent,2,Recommended,3
casual,low,4.7,l,autumn,o-neck,short,natural,polyester,chiffon,lace,patchwork,2,Excellent,1,Not Recommended,1
casual,average,4.3,m,autumn,o-neck,sleeveless,natural,polyester,chiffon,plain,solid,1,Very Good,2,Recommended,3
casual,average,4.7,xl,winter,v-neck,short,empire,polyester,chiffon,pockets,solid,2,Excellent,2,Not Recommended,3
casual,low,5.0,free,summer,o-neck,sleeveless,natural,modal,jersey,plain,solid,2,Excellent,1,Not Recommended,1
vintage,average,4.7,l,summer,sqare-collor,short,empire,cotton,chiffon,lace,dot,2,Excellent,2,Not Recommended,3
casual,low,4.7,free,winter,o-neck,sleeveless,natural,milksilk,chiffon,lace,animal,1,Excellent,1,Recommended,1
vintage,average,5.0,m,summer,v-neck,threequarter,natural,polyester,chiffon,lace,print,1,Excellent,2,Recommended,3
casual,low,4.7,l,summer,o-neck,full,natural,mix,worsted,lace,patchwork,2,Excellent,1,Not Recommended,1
bohemian,average,4.6,m,spring,o-neck,sleeveless,natural,chiffon,chiffon,sashes,solid,1,Excellent,2,Recommended,3
party,average,4.8,m,summer,o-neck,full,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
bohemian,low,4.6,free,summer,v-neck,sleeveless,natural,cotton,broadcloth,beading,solid,1,Excellent,1,Recommended,1
party,very-high,4.6,free,summer,o-neck,sleeveless,empire,rayon,chiffon,hollowout,solid,1,Excellent,5,Recommended,5
cute,low,4.8,m,spring,o-neck,short,natural,chiffon,chiffon,bow,dot,2,Excellent,1,Not Recommended,1
vintage,average,4.7,m,spring,o-neck,halfsleeves,empire,polyester,chiffon,lace,animal,1,Excellent,2,Recommended,3
casual,medium,4.9,l,winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,1,Excellent,3,Recommended,2
casual,average,4.2,free,summer,o-neck,sleeveless,natural,cotton,worsted,lace,striped,2,Very Good,2,Not Recommended,3
casual,average,4.9,m,summer,o-neck,short,dropped,cotton,chiffon,ruffles,patchwork,1,Excellent,2,Recommended,3
bohemian,low,5.0,xl,spring,v-neck,threequarter,natural,cotton,chiffon,lace,print,2,Excellent,1,Not Recommended,1
casual,average,4.7,m,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,dot,1,Excellent,2,Recommended,3
casual,average,4.7,free,summer,bowneck,halfsleeves,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,average,4.7,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,floral,1,Excellent,2,Recommended,3
sexy,medium,4.7,free,winter,o-neck,sleeveless,natural,polyester,chiffon,sequined,solid,1,Excellent,3,Recommended,2
sexy,low,4.4,free,autumn,v-neck,sleeveless,natural,cotton,worsted,lace,solid,1,Very Good,1,Recommended,1
sexy,average,4.7,free,spring,v-neck,full,natural,cotton,woolen,lace,solid,2,Excellent,2,Not Recommended,3
brief,average,4.9,xl,spring,slash-neck,full,natural,cotton,chiffon,sashes,solid,1,Excellent,2,Recommended,3
casual,average,4.7,xl,summer,v-neck,halfsleeves,natural,cotton,broadcloth,lace,print,2,Excellent,2,Not Recommended,3
casual,average,4.7,free,autumn,v-neck,full,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,average,4.8,m,summer,v-neck,full,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,medium,4.9,l,spring,sqare-collor,sleeveless,empire,cotton,chiffon,lace,print,1,Excellent,3,Recommended,2
party,average,4.7,m,spring,o-neck,halfsleeves,empire,cotton,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
sexy,low,4.4,free,summer,bowneck,sleeveless,natural,viscos,chiffon,bow,solid,1,Very Good,1,Recommended,1
bohemian,low,4.6,free,winter,o-neck,sleeveless,empire,polyester,chiffon,lace,patchwork,2,Excellent,1,Not Recommended,1
casual,low,4.6,free,autumn,o-neck,full,natural,rayon,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
sexy,low,4.5,free,summer,o-neck,sleeveless,empire,cotton,chiffon,sashes,solid,2,Very Good,1,Not Recommended,1
sexy,low,4.7,free,winter,v-neck,sleeveless,dropped,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
casual,average,4.7,xl,spring,bowneck,sleeveless,natural,mix,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,average,4.7,free,autumn,o-neck,full,natural,polyester,satin,hollowout,solid,1,Excellent,2,Recommended,3
sexy,low,4.8,free,spring,v-neck,sleeveless,natural,cotton,chiffon,lace,striped,2,Excellent,1,Not Recommended,1
brief,low,4.7,free,autumn,o-neck,sleeveless,natural,cotton,chiffon,sequined,solid,1,Excellent,1,Recommended,1
sexy,high,5.0,m,summer,v-neck,sleeveless,natural,mix,chiffon,lace,striped,1,Excellent,4,Recommended,4
casual,average,4.6,l,summer,bowneck,full,dropped,cotton,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
cute,medium,4.9,s,summer,bowneck,sleeveless,empire,cotton,chiffon,bow,patchwork,2,Excellent,3,Not Recommended,2
novelty,average,4.9,m,autumn,o-neck,short,natural,polyester,chiffon,none,print,1,Excellent,2,Recommended,3
casual,low,4.3,free,spring,o-neck,full,natural,cotton,chiffon,sashes,none,2,Very Good,1,Not Recommended,1
casual,low,4.7,s,autumn,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
casual,average,4.8,l,autumn,boat-neck,sleeveless,natural,cotton,chiffon,sashes,solid,1,Excellent,2,Recommended,3
cute,average,4.5,l,winter,v-neck,sleeveless,natural,polyester,jersey,sashes,solid,2,Very Good,2,Not Recommended,3
casual,average,4.4,free,summer,o-neck,capsleeves,natural,cotton,chiffon,lace,solid,1,Very Good,2,Recommended,3
party,average,4.7,m,spring,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
sexy,low,4.7,free,summer,v-neck,sleeveless,dropped,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
casual,low,4.8,l,summer,v-neck,threequarter,natural,cotton,chiffon,lace,print,1,Excellent,1,Recommended,1
work,average,5.0,m,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
novelty,average,5.0,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,print,1,Excellent,2,Recommended,3
casual,low,4.6,free,spring,v-neck,sleeveless,natural,silk,chiffon,draped,solid,1,Excellent,1,Recommended,1
casual,average,4.5,m,summer,o-neck,full,natural,cotton,chiffon,lace,solid,1,Very Good,2,Recommended,3
casual,average,4.5,l,spring,boat-neck,threequarter,natural,cotton,dobby,lace,animal,2,Very Good,2,Not Recommended,3
casual,average,4.5,free,autumn,o-neck,halfsleeves,natural,cotton,chiffon,hollowout,solid,2,Very Good,2,Not Recommended,3
cute,low,4.7,m,summer,boat-neck,short,natural,cotton,chiffon,sashes,solid,1,Excellent,1,Recommended,1
party,average,4.9,m,winter,o-neck,halfsleeves,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,average,4.8,m,summer,o-neck,halfsleeves,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,low,4.4,l,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Very Good,1,Recommended,1
casual,average,4.3,m,winter,slash-neck,sleeveless,natural,polyester,chiffon,sashes,solid,1,Very Good,2,Recommended,3
cute,average,4.7,l,summer,o-neck,sleeveless,natural,polyester,broadcloth,lace,solid,1,Excellent,2,Recommended,3
